word,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
abominable,0,0,0,0.003907767,0.004311582,0,0,0,0,0,0,0,0,0.004100861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007143358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005916622,0,0,0,0
aborted,0,0,0,0,0,0,0,0,0,0,0,0.005681575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abortion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041031004,0
abortions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008147686,0,0,0
abortive,0,0,0,0,0,0,0,0.004807408,0,0,0,0,0,0,0,0,0,0,0.005037992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abounded,0,0,0,0,0,0,0,0,0.010974643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abounds,0,0,0,0,0,0,0,0,0.004594077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004765697,0.004982967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aboushouk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008224492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aboutface,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005526808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abovementioned,0,0,0.004108978,0,0,0.004116073,0.004091562,0,0,0,0,0,0,0,0,0,0.003837854,0,0,0,0,0,0,0.003830546,0,0,0,0,0,0,0.004541482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abraham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006846469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreast,0,0,0,0,0.005257483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abridge,0,0,0,0,0,0,0,0,0,0,0,0,0.005450274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad,0,0.002588884,0,0,0,0,0.002595875,0,0.002457152,0,0.002126063,0,0.004881126,0.002474834,0,0,0.00243491,0,0.007480118,0.006012166,0,0.005141032,0,0,0,0,0.002665151,0.002660677,0.009021434,0,0.005762648,0,0,0,0,0,0,0,0,0,0,0.003907096,0.003888021,0,0.004104032,0,0.00357063,0.00364843,0.003546842,0,0
abrogation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006715566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006715566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absence,0.011531693,0,0.005177822,0.006245356,0.003445364,0,0.006874501,0.004725627,0,0.00397932,0.001407582,0.003368743,0,0.008192446,0.002784258,0,0.003224114,0.004711119,0,0.003980416,0.004059437,0.003403673,0,0.004826963,0,0.001687554,0.005293472,0.001761528,0.001990911,0.004722584,0.00381522,0.014270557,0,0.004769742,0.004751699,0.00562065,0.00243825,0.002695494,0,0,0.002162658,0,0.007722312,0.002325929,0.008151349,0.014718626,0.002363972,0.00241548,0.002348223,0.002432828,0.004735298
absent,0,0,0,0,0,0,0,0,0,0,0,0,0.004044074,0,0,0,0,0,0,0.004981154,0,0,0.004139977,0,0,0,0,0,0,0,0,0,0,0,0,0.007033769,0,0,0,0,0,0,0,0,0,0,0.005916622,0,0,0,0
abso,0,0,0,0,0,0,0,0,0,0,0,0,0.005450274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
